algo,init,size,avg_deviation(%),total_time(s)
best-exchange,random,50,5.362330750390297,1.373259
best-exchange,random,100,5.642172045535274,18.590954
best-exchange,random,200,5.6585420142206875,322.219387
best-exchange,srz,50,4.396521181675298,0.037652
best-exchange,srz,100,4.871251117575722,0.779424
best-exchange,srz,200,4.413598643841678,10.128569
best-insert,random,50,4.473325600207167,2.999958
best-insert,random,100,5.082962477772443,39.407056
best-insert,random,200,5.728329991242251,627.39581
best-insert,srz,50,3.0115761733595305,0.124962
best-insert,srz,100,4.053810279070389,1.66862
best-insert,srz,200,3.7130338530065528,25.20601
best-transpose,random,50,19.65420781635943,0.107701
best-transpose,random,100,19.9786186059419,1.035469
best-transpose,random,200,21.112453808702107,7.160948
best-transpose,srz,50,5.814017749852826,0.001595
best-transpose,srz,100,6.743064941527163,0.010637
best-transpose,srz,200,6.050057213053813,0.093443
first-exchange,random,50,3.47389440257866,2.028584
first-exchange,random,100,3.190054760830664,37.231637
first-exchange,random,200,2.7460022864130496,869.386687
first-exchange,srz,50,4.151155721046935,0.041118
first-exchange,srz,100,4.2063175182299375,1.091496
first-exchange,srz,200,3.5379516157023607,24.954623
first-insert,random,50,3.3994767386238225,4.573252
first-insert,random,100,4.01452458995772,82.552486
first-insert,random,200,4.596900175581784,1698.9330439999999
first-insert,srz,50,2.9279334929386547,0.119836
first-insert,srz,100,3.3822159488842125,2.397389
first-insert,srz,200,3.1718757587873987,43.556648
first-transpose,random,50,18.80692078901061,0.091238
first-transpose,random,100,19.213863333720465,0.952799
first-transpose,random,200,20.183854569203653,10.37803
first-transpose,srz,50,5.825163717106788,0.0008990000000000001
first-transpose,srz,100,6.760960454158351,0.006105
first-transpose,srz,200,6.053786067385444,0.056254
