"instance","VND1","VND2","difference"
"./INSTANCES/BENCHMARKS/TA051",128822,129181,-359
"./INSTANCES/BENCHMARKS/TA052",122098,121867,231
"./INSTANCES/BENCHMARKS/TA053",120823,120083,740
"./INSTANCES/BENCHMARKS/TA054",124051,123568,483
"./INSTANCES/BENCHMARKS/TA055",121945,121350,595
"./INSTANCES/BENCHMARKS/TA056",123859,123261,598
"./INSTANCES/BENCHMARKS/TA057",126382,125894,488
"./INSTANCES/BENCHMARKS/TA058",125696,127565,-1869
"./INSTANCES/BENCHMARKS/TA059",125803,125330,473
"./INSTANCES/BENCHMARKS/TA060",127590,127515,75
"./INSTANCES/BENCHMARKS/TA081",375291,377910,-2619
"./INSTANCES/BENCHMARKS/TA082",382970,383816,-846
"./INSTANCES/BENCHMARKS/TA083",378960,380143,-1183
"./INSTANCES/BENCHMARKS/TA084",386268,384398,1870
"./INSTANCES/BENCHMARKS/TA085",381245,382083,-838
"./INSTANCES/BENCHMARKS/TA086",383931,385060,-1129
"./INSTANCES/BENCHMARKS/TA087",387121,386182,939
"./INSTANCES/BENCHMARKS/TA088",399796,396967,2829
"./INSTANCES/BENCHMARKS/TA089",387434,388151,-717
"./INSTANCES/BENCHMARKS/TA090",393352,390687,2665
"./INSTANCES/BENCHMARKS/TA101",1252925,1257726,-4801
"./INSTANCES/BENCHMARKS/TA102",1269350,1275756,-6406
"./INSTANCES/BENCHMARKS/TA103",1287075,1301737,-14662
"./INSTANCES/BENCHMARKS/TA104",1271084,1270930,154
"./INSTANCES/BENCHMARKS/TA105",1248746,1256595,-7849
"./INSTANCES/BENCHMARKS/TA106",1253510,1267580,-14070
"./INSTANCES/BENCHMARKS/TA107",1266785,1272713,-5928
"./INSTANCES/BENCHMARKS/TA108",1265068,1265941,-873
"./INSTANCES/BENCHMARKS/TA109",1256492,1257789,-1297
"./INSTANCES/BENCHMARKS/TA110",1280600,1277002,3598
